eps,theta,T,num_gen,N_WDR,proposed time F,exact time F,proposed time,exact time,proposed obj F,exact obj F,proposed obj,exact obj,exact prop diff (%),proposed reli,exact reli
0.05,0.5,8,100,100,1.7733333333333334,8.193333333333333,2.429916175206502,9.11898621082306,217000.09963853334,216994.31509966665,216983.40471095522,216984.85654900898,-0.00041270964607632274,99.89253333333333,99.8944
0.05,0.5,12,100,100,13.306666666666667,33.373333333333335,59.05914981047312,58.22281259536743,324476.06526959996,324447.2999959587,324455.4225762655,324435.71995231765,0.0012833945601286845,99.83333333333333,99.83413333333333
0.05,0.5,16,100,100,26.80666666666667,78.58666666666667,194.46100992361704,129.01302082379658,431138.2522678666,430966.5782376812,431117.84872733685,430958.62851377035,0.005521957459587247,99.76213333333334,99.76778523489932
0.05,0.5,20,100,100,109.74,107.08666666666667,380.3208750851949,186.01220518747965,533610.9815586987,533218.9122469384,533565.279262313,533175.1743084656,-4.583983916038115e-05,99.72178082191782,99.72013513513515
0.05,0.5,24,100,50,118.17333333333333,643.1866666666666,376.2482455714544,812.6211904875437,626197.2791804796,630766.486199432,626129.7425960036,628200.5143181375,0.0009234608784792654,99.13808219178082,99.20231292517008
0.05,0.5,24,100,100,88.04,343.20666666666665,512.4014184522629,473.42287987709045,632419.2425566216,631621.5480274177,632392.8494281889,631591.3849906921,0.005323345276655108,99.67243243243243,99.67673469387756
0.05,0.5,24,100,150,73.82,208.25333333333333,471.25013867855074,288.92117626508076,635376.1703756081,633624.4785882871,635355.7385514209,633596.3232021298,-0.0008724733023748683,99.80108108108107,99.80312925170067
0.05,0.5,28,100,100,175.20666666666668,477.1,842.2505432860056,796.1211607027054,745274.2546393751,742337.7945998186,745202.5637562184,742316.5771796099,-0.004425352767400571,99.59319444444445,99.59319444444445
0.05,0.1,8,100,100,1.8533333333333333,1.8266666666666667,2.462480452855428,35.060037630399066,209569.8894899333,209378.82943153332,209564.95546238657,209147.53988145193,0.20235493529487675,95.72586666666666,95.40626666666665
0.05,0.1,12,100,100,15.026666666666667,78.42,64.6238729206721,176.98159927050273,313486.7539040667,313289.5090805516,313468.69700106035,313024.4543742472,0.1438575313131278,93.6412,93.60711409395972
0.05,0.1,16,100,100,62.32,135.32666666666665,208.36262458960215,484.9003263982137,416323.72340837837,415766.900538108,416302.6080143025,415516.965690296,0.11616340653423593,91.495,91.69054054054054
0.05,0.1,20,100,100,110.53333333333333,222.38,482.08643654505414,620.8488266245524,516402.8796224489,514447.5091215181,516372.0822759417,514229.90800486534,0.06539690365338462,89.86843537414966,90.23919463087248
0.05,0.1,24,100,50,135.24,776.3733333333333,576.602789808909,1098.0146059942244,605615.8704641217,604752.0087838407,605574.5289851977,604465.2643105492,0.004024113575520788,76.01189189189188,76.88266666666668
0.05,0.1,24,100,100,91.07333333333334,437.20666666666665,521.2506452353796,1064.364522120158,611227.1768093877,609496.4728529592,611202.3016362732,609360.4013486736,0.04955793858034034,88.0308843537415,88.51127516778524
0.05,0.1,24,100,150,185.28,273.9266666666667,451.5506812397639,834.810429593722,614965.6846131469,611381.9628891319,614945.4940568071,611138.7288692872,0.10683695033805944,91.86825174825175,92.13554054054055
0.05,0.1,28,100,100,246.56,747.9733333333334,841.8838949728012,1448.0995883146923,718615.6604079577,717505.4920517575,718568.4518012927,717378.9763267747,0.04739756208193202,85.70549295774649,86.47864864864864
0.025,0.5,8,100,100,0.6733333333333333,0.8066666666666666,1.3182860946655273,1.5188315359751383,226694.07289379998,226697.80621573335,226681.91328947127,226683.32898684154,-0.0003145101764087648,99.99959999999999,99.99973333333332
0.025,0.5,12,100,100,2.64,30.833333333333332,3.871897554397583,33.994824798901874,338865.7310515333,338875.44595497596,338844.35937194276,338832.070972773,0.004435682743937665,99.99973333333332,99.99973333333332
0.025,0.5,16,100,100,60.89333333333333,145.4,153.2052581612269,147.75948232332865,450080.41879412165,450900.531811623,450036.6040794902,450653.986850208,-0.0012062797705247959,99.99945945945946,99.99945945945946
0.025,0.5,20,100,100,93.98666666666666,381.84,291.7094495439529,439.8001089668274,556931.7651146622,559161.7778710619,556868.0443107121,559083.1223297045,0.0029187908526364555,99.99959459459458,99.99959183673468
0.025,0.5,24,100,50,326.1,525.4666666666667,353.36310492833456,529.3155263551076,654178.8423127737,655488.496378588,654078.571513312,654365.3974464721,0.0012553394252162043,99.9970802919708,99.99718518518517
0.025,0.5,24,100,100,148.46666666666667,754.92,459.598466612498,827.4448184426626,660727.7746934483,663766.5937119232,660629.0083840598,663095.2119402034,0.0008012262445575843,99.99958620689654,99.99972789115645
0.025,0.5,24,100,150,111.04666666666667,449.1933333333333,331.48934321085613,636.3979012298583,663021.9470494558,662008.6297025151,662958.6070563758,661965.9101170958,-0.001945103516418926,100.0,100.0
0.025,0.5,28,100,100,279.44,957.5066666666667,804.9723575735093,1386.6714030853907,777087.7860599296,784716.2596955472,776979.9878030281,782677.8524026853,0.0029500846181684066,99.99943661971831,99.99957746478873
0.025,0.1,8,100,100,1.0866666666666667,1.08,1.708720474243164,1.7171055507659911,211569.6879282,211558.43647920003,211557.1945051982,211537.16741177742,0.007239999244561681,98.04599999999999,98.06506666666667
0.025,0.1,12,100,100,2.8333333333333335,5.126666666666667,6.038108483950297,6.858864638010661,316157.1642100666,316153.8297641333,316129.19113703707,316119.30412107386,0.003250413266392257,97.06839999999998,97.11280000000001
0.025,0.1,16,100,100,77.7,98.22,81.37109666983287,108.85620780309041,419380.99057486485,419697.6108347806,419338.5255698532,419653.50839327904,-0.0036845814226670933,96.08959459459459,96.13746666666667
0.025,0.1,20,100,100,128.96666666666667,502.6,324.69537720521294,641.3960540246964,520047.7477668493,519781.2460114759,520013.39620296034,519440.73238931515,0.004734249236527162,95.32780821917808,95.41093333333333
0.025,0.1,24,100,50,159.66666666666666,141.29333333333332,186.6847476832072,173.71907327969868,609761.1008825696,610772.9114800062,609670.8078317778,609793.548006593,-0.003991893271333883,87.80666666666667,87.75142857142856
0.025,0.1,24,100,100,120.76666666666667,949.3866666666667,531.270742465655,1079.664926047325,615414.2472210274,615593.627716187,615334.2082786905,614936.8183624895,0.00103094989870337,94.44136986301369,94.7758904109589
0.025,0.1,24,100,150,62.11333333333334,674.8066666666666,605.2875702667236,1100.7716411066056,618991.596898919,617888.0927621893,618912.7681690134,617746.8230726572,-0.001209017122547045,96.44824324324324,96.71106666666667
0.025,0.1,28,100,100,285.99333333333334,1029.44,639.5884085067113,1354.8300146532058,723957.7764417606,725536.0566034281,723864.4228382787,724292.6739135257,-0.00500245549511491,93.25929577464788,93.83986577181207
